"ID","فرع البنك","نوع التمويل","تصنيف التمويل","قطاع العميل","قيمة التمويل","قيمة القسط","تاريخ الصرف","جنس العميل","عمرالعميل","الحالة الاجتماعية","احتياجات خاصة","عدد افراد الاسرة","قرض ادخاري","قيمة الدخل"
"1.0","تبوك","إجتماعي","أسرة","موظف حكومي","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 05","لا","< 5000"
"2.0","حائل","مشروع","حل","NULL","160000.0",">= 1000","2019/01","MALE","< 30","أعزب","لا","< 02","لا","< 5000"
"3.0","تبوك","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"4.0","المدينة","إجتماعي","زواج","موظف شركة حكومية","60000.0","< 1000","2019/03","MALE","< 30","متزوج","لا",">= 10","لا",">= 5000"
"5.0","المدينة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/02","FEMALE",">= 30","مطلق","لا",">= 02","لا",">= 10000"
"6.0","المدينة","إجتماعي","أسرة","موظف قطاع خاص","60000.0",">= 1000","2019/02","FEMALE",">= 30","مطلق","لا",">= 02","لا","< 5000"
"7.0","المدينة","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/02","MALE",">= 60","مطلق","لا",">= 05","لا",">= 7500"
"8.0","المدينة","إجتماعي","أسرة","متقاعد حكومي","60000.0",">= 1000","2019/02","MALE",">= 60","مطلق","لا",">= 05","لا",">= 10000"
"9.0","المدينة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"10.0","الخرج","إجتماعي","زواج","موظف حكومي","60000.0","< 1000","2019/01","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"11.0","المدينة","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","FEMALE","< 30","مطلق","لا",">= 02","لا","< 5000"
"12.0","المدينة","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","FEMALE","< 30","مطلق","لا",">= 02","لا",">= 10000"
"13.0","الرياض","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","MALE",">= 60","متزوج","لا",">= 05","لا","< 5000"
"14.0","الرياض","إجتماعي","أسرة","NULL","60000.0","< 1000","2019/01","MALE",">= 60","متزوج","لا",">= 05","لا",">= 7500"
"15.0","الطائف","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE",">= 30","متزوج","لا",">= 02","لا",">= 7500"
"16.0","تبوك","إجتماعي","أسرة","NULL","30000.0","< 1000","2019/02","MALE",">= 40","متزوج","لا",">= 05","نعم",">= 10000"
"17.0","تبوك","إجتماعي","أسرة","NULL","30000.0","< 1000","2019/02","MALE",">= 40","متزوج","لا",">= 05","نعم","< 5000"
"18.0","المدينة","مشروع","ناشيء","NULL","155000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا","< 02","لا","< 5000"
"19.0","الخرج","إجتماعي","أسرة","متقاعد حكومي","60000.0","< 1000","2019/01","MALE",">= 60","متزوج","لا",">= 05","لا",">= 5000"
"20.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","24000.0","< 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا",">= 10000"
"21.0","الطائف","إجتماعي","زواج","موظف قطاع خاص","24000.0","< 1000","2019/01","MALE","< 30","متزوج","لا",">= 02","لا",">= 5000"
"22.0","تبوك","إجتماعي","زواج","موظف حكومي","60000.0","< 1000","2019/03","MALE",">= 30","متزوج","لا",">= 02","لا",">= 5000"
"23.0","المدينة","إجتماعي","زواج","موظف حكومي","60000.0",">= 1000","2019/02","MALE","< 30","متزوج","لا",">= 02","لا",">= 7500"
"24.0","الخرج","إجتماعي","أسرة","متقاعد حكومي","60000.0","< 1000","2019/01","MALE",">= 60","متزوج","لا",">= 05","لا",">= 10000"
